X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2076930.55651417,-4021261.52219145,37628,109DC19,3,-31673.34,-3757483.23,54.011,,19,18,2
2062249.20691033,-4033510.21758825,37629,10A5,3,-43818.77,-3767651.55,16.023,,19,18,2
2046334.38354984,-4044099.88146719,37630,10AB13,3,-56968.61,-3776462.5,7.175,demolished,19,18,2
2042122.78705132,-4051748.2527659,37631,10AB17,3,-60418.76,-3782792.11,26.836,,19,18,2
2043255.53152578,-4049459.98510524,37632,10AB18,3,-59492.48,-3780899.36,44.928,,19,18,2
2041650.92225168,-4030385.1203392,37633,10AB2,3,-60923.34,-3765165.26,87.509,,19,18,2
2046935.41681614,-4030959.84293362,37634,10AB3,3,-56535.37,-3765612.74,125.15,,19,18,2
2052907.41744977,-4032878.80424266,37635,10AB4,3,-51571.36,-3767169.24,43.011,,19,18,2
2041349.5581402,-4036052.49629471,37636,10AB7,3,-61143.14,-3769846.91,74.591,,19,18,2
2044332.9712555,-4036275.44701097,37637,10AB8,3,-58667.55,-3770015.28,64.619,,19,18,2
2051533.49475086,-4038976.59578889,37638,10AB9,3,-52683.12,-3772209.78,43.81,,19,18,2
2046117.46598259,-4043447.10561683,37639,10B4,3,-57151.66,-3775925.03,16.842,demolished,19,18,2
2060584.70222654,-4034881.40578097,37640,10BA1,3,-45194.19,-3768790.25,10.352,,19,18,2
2083533.04429911,-4035729.6849041,37641,10BA10,3,-26157.21,-3769418.74,15.782,,19,18,2
2074025.57324574,-4031109.86929177,37642,10BA3,3,-34056.54,-3765629.02,32.788,,19,18,2
2096347.56327842,-4044226.68567475,37643,10BB12,3,-15517.22,-3776407.72,4.113,,19,18,2
2040399.95152664,-4047651.00977346,37644,10C3,3,-61867.93,-3779422.77,13.52,,19,18,2
2098665.84442424,-4045858.65854293,37645,10C7,3,-13593.91,-3777751,10.471,,19,18,2
2055175.95186486,-3975574.07576636,37646,10CB15,3,-49937.26,-3719719.67,120.902,,19,18,2
2057332.33392219,-3966180.76076519,37647,10CB5,3,-48178.38,-3711912,186.953,,19,18,2
2044219.37905999,-3973562.48972543,37648,10CB8,3,-59082.76,-3718101.95,18.654,,19,18,2
